"ticker","nombre","sector","grupo_comparacion","fy","ppe_bruto","dep_acumulada","ppe_neto","costos_totales","dep_amort_anual","capex","inversion_pct_activos","costo_operativo_sin_dya"
"AEP","American Electric Power","Electrico","Servicios regulados / redes (Electrico + Telecom)",2009,4.971e+10,1.6723e+10,3.2987e+10,NA,NA,5.12e+08,0.0102997384832026,NA
"AEP","American Electric Power","Electrico","Servicios regulados / redes (Electrico + Telecom)",2010,5.1684e+10,1.734e+10,3.4344e+10,NA,NA,1.6e+08,0.0030957356241777,NA
"AEP","American Electric Power","Electrico","Servicios regulados / redes (Electrico + Telecom)",2011,5.374e+10,1.8066e+10,3.5674e+10,NA,NA,1.04e+08,0.0019352437662821,NA
"AEP","American Electric Power","Electrico","Servicios regulados / redes (Electrico + Telecom)",2012,5.567e+10,1.8699e+10,3.6971e+10,NA,NA,1.55e+08,0.00278426441530447,NA
"AEP","American Electric Power","Electrico","Servicios regulados / redes (Electrico + Telecom)",2013,5.7454e+10,1.8691e+10,3.8763e+10,NA,NA,1.9e+07,0.000330699342082362,NA
"AEP","American Electric Power","Electrico","Servicios regulados / redes (Electrico + Telecom)",2014,6.0285e+10,1.9288e+10,4.0997e+10,NA,NA,9.4e+07,0.00155926018080783,NA
"AEP","American Electric Power","Electrico","Servicios regulados / redes (Electrico + Telecom)",2015,63605900000,19970800000,43635100000,NA,NA,3.2e+07,0.000503097983048742,NA
"AEP","American Electric Power","Electrico","Servicios regulados / redes (Electrico + Telecom)",2016,65481400000,19348200000,46133200000,NA,NA,64800000,0.000989593991576234,NA
"AEP","American Electric Power","Electrico","Servicios regulados / redes (Electrico + Telecom)",2017,62036600000,16397300000,45639300000,NA,NA,5300000,8.54334376803371e-05,NA
"AEP","American Electric Power","Electrico","Servicios regulados / redes (Electrico + Telecom)",2018,67428500000,1.7167e+10,50261500000,NA,NA,107900000,0.00160021355954826,NA
"AEP","American Electric Power","Electrico","Servicios regulados / redes (Electrico + Telecom)",2019,73085200000,17986100000,55099100000,NA,NA,0,0,NA
"AEP","American Electric Power","Electrico","Servicios regulados / redes (Electrico + Telecom)",2020,79145700000,19007600000,60138100000,NA,NA,0,0,NA
"AEP","American Electric Power","Electrico","Servicios regulados / redes (Electrico + Telecom)",2021,8.4313e+10,20411400000,63901600000,NA,NA,NA,NA,NA
"AEP","American Electric Power","Electrico","Servicios regulados / redes (Electrico + Telecom)",2022,86806400000,20805100000,66001300000,NA,NA,NA,NA,NA
"AEP","American Electric Power","Electrico","Servicios regulados / redes (Electrico + Telecom)",2023,97021400000,23682300000,73339100000,NA,NA,NA,NA,NA
"AEP","American Electric Power","Electrico","Servicios regulados / redes (Electrico + Telecom)",2024,101246400000,NA,564300000,16156800000,3072800000,NA,NA,1.3084e+10
