"ticker","nombre","sector"
"XOM","ExxonMobil","Oil & Gas"
"CVX","Chevron","Oil & Gas"
"COP","ConocoPhillips","Oil & Gas"
"EOG","EOG Resources","Oil & Gas"
"DVN","Devon Energy","Oil & Gas"
"FANG","Diamondback Energy","Oil & Gas"
"APA","APA Corporation (Apache)","Oil & Gas"
"OXY","Occidental Petroleum","Oil & Gas"
"MRO","Marathon Oil","Oil & Gas"
"HES","Hess Corporation","Oil & Gas"
"PXD","Pioneer Natural Resources","Oil & Gas"
"MPC","Marathon Petroleum","Oil & Gas"
"VLO","Valero Energy","Oil & Gas"
"PSX","Phillips 66","Oil & Gas"
"WMB","Williams Companies","Oil & Gas"
"KMI","Kinder Morgan","Oil & Gas"
"OKE","ONEOK","Oil & Gas"
"ET","Energy Transfer","Oil & Gas"
"EPD","Enterprise Products Partners","Oil & Gas"
"TRGP","Targa Resources","Oil & Gas"
"LNG","Cheniere Energy","Oil & Gas"
"SLB","SLB (ex-Schlumberger)","Oil & Gas"
"HAL","Halliburton","Oil & Gas"
"BKR","Baker Hughes","Oil & Gas"
"DUK","Duke Energy","Electrico"
"SO","Southern Company","Electrico"
"AEP","American Electric Power","Electrico"
"NEE","NextEra Energy","Electrico"
"D","Dominion Energy","Electrico"
"EXC","Exelon","Electrico"
"XEL","Xcel Energy","Electrico"
"ED","Consolidated Edison","Electrico"
"PCG","PG&E Corporation","Electrico"
"PPL","PPL Corporation","Electrico"
"FE","FirstEnergy","Electrico"
"WEC","WEC Energy Group","Electrico"
"ES","Eversource Energy","Electrico"
"T","AT&T","Telecom"
"VZ","Verizon Communications","Telecom"
"TMUS","T-Mobile US","Telecom"
"CMCSA","Comcast","Telecom"
